target,bit_i,bit_j,bit_i_index,bit_j_index,mean_00,mean_01,mean_10,mean_11,count_00,count_01,count_10,count_11,synergy_11_minus_additive,abs_synergy,best_state,best_state_mean
official_property_contribution,bit_77,bit_56,77,56,0.5685765884255813,0.6258770536728261,0.6558389186957304,0.6216753389246314,24200,5135,434,231,-0.09146404501834371,0.09146404501834371,10,0.6558389186957304
official_property_contribution,bit_12,bit_84,12,84,0.649400777715303,0.5606205197568734,0.6251335643133572,0.6198212984763265,651,20844,4096,4409,0.08346799212139888,0.08346799212139888,00,0.649400777715303
official_property_contribution,bit_77,bit_12,77,12,0.5610099415821038,0.6223170050260487,0.6462260205435041,0.6285882598859355,20915,8420,580,85,-0.07894482410151349,0.07894482410151349,10,0.6462260205435041
official_property_contribution,bit_23,bit_5,23,5,0.6373481223609563,0.6229384516535218,0.5653412451166029,0.6269438394965698,2054,4184,22909,853,0.07601226508740144,0.07601226508740144,00,0.6373481223609563
official_property_contribution,bit_84,bit_97,84,97,0.6465820768262609,0.6253482745616133,0.563872165728757,0.6117454377774849,696,4051,21516,3737,0.06910707431337548,0.06910707431337548,00,0.6465820768262609
official_property_contribution,bit_97,bit_103,97,103,0.5499845183137494,0.5868241441698292,0.5146304436576244,0.6196707887732202,12276,9936,63,7725,0.06820071925951599,0.06820071925951599,11,0.6196707887732202
official_property_contribution,bit_23,bit_97,23,97,0.6544649762439512,0.6249481923637342,0.5641126877610246,0.6025243385548971,578,5660,21634,2128,0.06792843467408938,0.06792843467408938,00,0.6544649762439512
official_property_contribution,bit_84,bit_17,84,17,0.625195657160286,0.640745507892779,0.6145784483947968,0.563318172056062,3750,997,3763,21490,-0.06681012707122769,0.06681012707122769,01,0.640745507892779
official_property_contribution,bit_23,bit_103,23,103,0.5258488415319008,0.6286721583936266,0.5499210631385377,0.5864064221186732,60,6178,12279,11483,-0.06633795788159025,0.06633795788159025,01,0.6286721583936266
official_property_contribution,bit_84,bit_56,84,56,0.6377092989949563,0.6266543867288056,0.5679153791010534,0.6229685334777528,776,3971,23858,1395,0.06610806664285018,0.06610806664285018,00,0.6377092989949563
official_property_contribution,bit_84,bit_5,84,5,0.6417273398007265,0.6253282001356548,0.5686094500543065,0.618126389547197,907,3840,24056,1197,0.06591607915796216,0.06591607915796216,00,0.6417273398007265
official_property_contribution,bit_23,bit_12,23,12,0.638711409976021,0.6264332999666189,0.561014011254562,0.6145532063048479,635,5603,20860,2902,0.06581730505968808,0.06581730505968808,00,0.638711409976021
official_property_contribution,bit_124,bit_17,124,17,0.6205961074948194,0.6228886251047383,0.6186424000553242,0.5555480871832417,4751,3741,2762,18746,-0.06538683048200145,0.06538683048200145,01,0.6228886251047383
official_property_contribution,bit_77,bit_5,77,5,0.5694695930165704,0.623455816454222,0.6450955242695445,0.63471455713468,24370,4965,593,72,-0.06436719057251616,0.06436719057251616,10,0.6450955242695445
official_property_contribution,bit_23,bit_17,23,17,0.6247749144499574,0.6419707520887299,0.6089845639770659,0.5630483223870972,5183,1055,2330,21432,-0.0631320792287412,0.0631320792287412,01,0.6419707520887299
official_property_contribution,bit_77,bit_51,77,51,0.6202123655528333,0.5595725467530451,0.643946157523509,0.6452461000160703,9208,20127,652,13,0.06193976129234946,0.06193976129234946,11,0.6452461000160703
official_property_contribution,bit_12,bit_124,12,124,0.6182370701415136,0.5524211493774298,0.6240331101704807,0.6200929539389584,3556,17939,4936,3569,0.061875764532561495,0.061875764532561495,10,0.6240331101704807
official_property_contribution,bit_124,bit_97,124,97,0.6228407963805866,0.6207419994151688,0.5559330636431118,0.6153837865850189,3496,4996,18716,2792,0.061549519907324934,0.061549519907324934,00,0.6228407963805866
official_property_contribution,bit_12,bit_103,12,103,0.5499764671505276,0.580885640867562,0.5316319550786202,0.6236345068089778,12223,9272,116,8389,0.06109337801332326,0.06109337801332326,11,0.6236345068089778
official_property_contribution,bit_77,bit_31,77,31,0.6121672730651839,0.5549192155634022,0.6432394095792525,0.6461724615993362,12138,17197,499,166,0.060181109521865395,0.060181109521865395,11,0.6461724615993362
official_property_contribution,bit_124,bit_5,124,5,0.6199321220485912,0.6236242967987412,0.5601491421266719,0.623592278124478,4642,3850,20321,1187,0.05975096124765611,0.05975096124765611,01,0.6236242967987412
official_property_contribution,bit_23,bit_84,23,84,0.6289400509447404,0.6257041810538814,0.6265028877317472,0.5651460791984599,3815,2423,932,22830,-0.05812093864242829,0.05812093864242829,00,0.6289400509447404
official_property_contribution,bit_23,bit_56,23,56,0.6280932916110707,0.6274446029644886,0.5641603186954889,0.6208468071797534,2294,3944,22340,1422,0.05733517713084668,0.05733517713084668,00,0.6280932916110707
official_property_contribution,bit_5,bit_103,5,103,0.5499310381838795,0.5918967715005192,0.5265367787679022,0.6249254753785632,12272,12691,67,4970,0.0564229632940213,0.0564229632940213,11,0.6249254753785632
official_property_contribution,bit_77,bit_17,77,17,0.6196641305154369,0.5646378531871606,0.6439944804883948,0.6439690455647793,7447,21888,66,599,0.055000842404660744,0.055000842404660744,10,0.6439944804883948
official_property_contribution,bit_120,bit_77,120,77,0.5603626038106747,0.6347610819302492,0.6245654742188906,0.6443015406871356,20999,23,8336,642,-0.05466241165132946,0.05466241165132946,11,0.6443015406871356
official_property_contribution,bit_77,bit_97,77,97,0.5643157907276968,0.6186059214596379,0.6439690455647793,0.6439944804883948,21613,7722,599,66,-0.0542646958083256,0.0542646958083256,11,0.6439944804883948
official_property_contribution,bit_17,bit_103,17,103,0.5319211891712434,0.6210523628180118,0.5499486492681427,0.5868214425501912,99,7414,12240,10247,-0.05225838036471986,0.05225838036471986,01,0.6210523628180118
official_property_contribution,bit_120,bit_103,120,103,0.5497622409663623,0.575024024373932,0.5522640540055616,0.6277078188651013,12133,8889,206,8772,0.05018198145197006,0.05018198145197006,11,0.6277078188651013
official_property_contribution,bit_47,bit_97,47,97,0.559332664258823,0.602863682657147,0.6270239056152491,0.6217822700661432,19872,1219,2340,6569,-0.04877265394742991,0.04877265394742991,10,0.6270239056152491
official_property_contribution,bit_67,bit_17,67,17,0.5926465874025704,0.5508516561092132,0.6221177202900929,0.6289148870974225,571,17907,6942,4580,0.048592098100686765,0.048592098100686765,11,0.6289148870974225
official_property_contribution,bit_124,bit_56,124,56,0.616040837341005,0.6271975093251645,0.5605220201633967,0.6200681631859785,4256,4236,20378,1130,0.04838947103842228,0.04838947103842228,01,0.6271975093251645
official_property_contribution,bit_47,bit_124,47,124,0.6111753120457556,0.5562756300907877,0.6251223602794443,0.618284425750362,2141,18950,6351,2558,0.04806174742588554,0.04806174742588554,10,0.6251223602794443
official_property_contribution,bit_124,bit_84,124,84,0.6290128288884984,0.6144124366655611,0.6243646707827634,0.5620184980491362,4184,4308,563,20945,-0.047745780510689895,0.047745780510689895,00,0.6290128288884984
official_property_contribution,bit_120,bit_84,120,84,0.612920562927523,0.5603489725940483,0.6285869620575338,0.623097535226256,38,20984,4709,4269,0.04708216350219685,0.04708216350219685,10,0.6285869620575338
official_property_contribution,bit_47,bit_5,47,5,0.5600294153940453,0.6117398375430765,0.620822941883882,0.6256685954253658,20349,742,4614,4295,-0.0468647686075474,0.0468647686075474,11,0.6256685954253658
official_property_contribution,bit_17,bit_5,17,5,0.613728764631953,0.6237110911187356,0.5657173721234928,0.6225492594410769,2885,4628,22078,409,0.046849560830801495,0.046849560830801495,01,0.6237110911187356
official_property_contribution,bit_23,bit_124,23,124,0.6294471565482262,0.6226755642404748,0.6122811858901124,0.5588264828948893,4613,1625,3879,19883,-0.04668311068747155,0.04668311068747155,00,0.6294471565482262
official_property_contribution,bit_77,bit_84,77,84,0.6259971999189313,0.5708897456392779,0.6443043637765309,0.6357925212436,4108,25227,639,26,0.046595611746722554,0.046595611746722554,10,0.6443043637765309
official_property_contribution,bit_120,bit_124,120,124,0.6079451389661299,0.5508089663368897,0.6313953781260933,0.6193268287323321,3545,17477,4947,4031,0.04506762323547908,0.04506762323547908,10,0.6313953781260933
official_property_contribution,bit_47,bit_12,47,12,0.5570294937691461,0.6109501729337777,0.6160006827325094,0.6256341553518827,19206,1885,2289,6620,-0.044287206545258306,0.044287206545258306,11,0.6256341553518827
