target,bit_index,bit,count0,count1,mean_if_0,mean_if_1,contribution_if_0,contribution_if_1,effect_1_minus_0,abs_effect,global_mean
official_property_contribution,0,bit_0,22907,7093,0.5680323096106199,0.6188858153481032,-0.01202346387319908,0.03883004186428418,0.05085350573748326,0.05085350573748326,0.580055773483819
official_property_contribution,1,bit_1,24699,5301,0.5760046378192785,0.5989312686316186,-0.004051135664540517,0.018875495147799626,0.022926630812340143,0.022926630812340143,0.580055773483819
official_property_contribution,2,bit_2,21548,8452,0.582776764293142,0.5731187278189716,0.002720990809322976,-0.00693704566484743,-0.009658036474170406,0.009658036474170406,0.580055773483819
official_property_contribution,3,bit_3,10708,19292,0.614249976034371,0.5610763249605288,0.034194202550552055,-0.018979448523290143,-0.0531736510738422,0.0531736510738422,0.580055773483819
official_property_contribution,4,bit_4,10454,19546,0.6067308786704858,0.5657888365339869,0.026675105186666825,-0.014266936949832054,-0.04094204213649888,0.04094204213649888,0.580055773483819
official_property_contribution,5,bit_5,24963,5037,0.5712660989346496,0.6236167514014113,-0.008789674549169346,0.04356097791759228,0.05235065246676163,0.05235065246676163,0.580055773483819
official_property_contribution,6,bit_6,16532,13468,0.5710233929223989,0.59114304074261,-0.009032380561420084,0.011087267258791056,0.02011964782021114,0.02011964782021114,0.580055773483819
official_property_contribution,7,bit_7,10449,19551,0.6080065994028588,0.5651175002482787,0.027950825919039857,-0.014938273235540311,-0.04288909915458017,0.04288909915458017,0.580055773483819
official_property_contribution,8,bit_8,4459,25541,0.6058112987090303,0.5755593212313928,0.025755525225211295,-0.004496452252426231,-0.030251977477637526,0.030251977477637526,0.580055773483819
official_property_contribution,9,bit_9,25062,4938,0.5827626172115579,0.5663176370916367,0.0027068437277388835,-0.013738136392182243,-0.016444980119921127,0.016444980119921127,0.580055773483819
official_property_contribution,10,bit_10,19739,10261,0.5691931432584288,0.6009521245235787,-0.010862630225390135,0.02089635103975973,0.031758981265149866,0.031758981265149866,0.580055773483819
official_property_contribution,11,bit_11,25186,4814,0.5758399182526548,0.6021123854181979,-0.0042158552311641895,0.02205661193437891,0.0262724671655431,0.0262724671655431,0.580055773483819
official_property_contribution,12,bit_12,21495,8505,0.5633093286859703,0.6223796807066001,-0.016746444797848703,0.04232390722278112,0.059070352020629824,0.059070352020629824,0.580055773483819
official_property_contribution,13,bit_13,18620,11380,0.569487836487237,0.5973470728578396,-0.010567936996581984,0.01729129937402063,0.027859236370602614,0.027859236370602614,0.580055773483819
official_property_contribution,14,bit_14,14193,15807,0.5778783473604229,0.5820108698948621,-0.002177426123396109,0.001955096411043078,0.004132522534439187,0.004132522534439187,0.580055773483819
official_property_contribution,15,bit_15,23343,6657,0.5739255081697552,0.6015517601484115,-0.006130265314063799,0.021495986664592515,0.027626251978656313,0.027626251978656313,0.580055773483819
official_property_contribution,16,bit_16,10727,19273,0.6081476786721544,0.5644203318320121,0.028091905188335375,-0.01563544165180686,-0.043727346840142234,0.043727346840142234,0.580055773483819
official_property_contribution,17,bit_17,7513,22487,0.6198778671184204,0.5667510467760872,0.03982209363460143,-0.013304726707731751,-0.05312682034233318,0.05312682034233318,0.580055773483819
official_property_contribution,18,bit_18,14701,15299,0.5997433548876043,0.5611377308524673,0.019687581403785348,-0.01891804263135166,-0.03860562403513701,0.03860562403513701,0.580055773483819
official_property_contribution,19,bit_19,18956,11044,0.5715216697621969,0.5947037696941655,-0.00853410372162211,0.014647996210346514,0.023182099931968625,0.023182099931968625,0.580055773483819
official_property_contribution,20,bit_20,8294,21706,0.6113701121399547,0.5680903664620742,0.031314338656135754,-0.011965407021744756,-0.04327974567788051,0.04327974567788051,0.580055773483819
official_property_contribution,21,bit_21,5852,24148,0.6000686283033146,0.5752058800597801,0.020012854819495662,-0.004849893424038854,-0.024862748243534516,0.024862748243534516,0.580055773483819
official_property_contribution,22,bit_22,12354,17646,0.5610176316007429,0.5933844148089648,-0.019038141883076065,0.013328641325145774,0.03236678320822184,0.03236678320822184,0.580055773483819
official_property_contribution,23,bit_23,6238,23762,0.6276831556665179,0.567552633594261,0.04762738218269891,-0.01250313988955798,-0.06013052207225689,0.06013052207225689,0.580055773483819
official_property_contribution,24,bit_24,25083,4917,0.5741294480871167,0.6102876262244086,-0.005926325396702237,0.030231852740589593,0.03615817813729183,0.03615817813729183,0.580055773483819
official_property_contribution,25,bit_25,7722,22278,0.6156031491017402,0.5677343427215606,0.035547375617921206,-0.012321430762258334,-0.04786880638017954,0.04786880638017954,0.580055773483819
official_property_contribution,26,bit_26,13075,16925,0.5712631304749509,0.5868483174921468,-0.008792643008868062,0.00679254400832785,0.015585187017195912,0.015585187017195912,0.580055773483819
official_property_contribution,27,bit_27,9416,20584,0.5696343852386948,0.5848229611886426,-0.010421388245124175,0.00476718770482365,0.015188575949947825,0.015188575949947825,0.580055773483819
official_property_contribution,28,bit_28,3874,26126,0.5973476920865805,0.5774917034896714,0.01729191860276147,-0.0025640699941475997,-0.01985598859690907,0.01985598859690907,0.580055773483819
