target,bit_index,bit,count0,count1,mean_if_0,mean_if_1,contribution_if_0,contribution_if_1,effect_1_minus_0,abs_effect,global_mean
official_property_contribution,86,bit_86,9587,20413,0.6297751596296618,0.5567049796279333,0.049719386145842814,-0.023350793855885676,-0.07307018000172849,0.07307018000172849,0.580055773483819
official_property_contribution,67,bit_67,18478,11522,0.552143186890061,0.6248195970456536,-0.02791258659375795,0.044763823561834615,0.07267641015559256,0.07267641015559256,0.580055773483819
official_property_contribution,36,bit_36,12760,17240,0.5412361678954124,0.6087876857406674,-0.03881960558840658,0.028731912256848458,0.06755151784525504,0.06755151784525504,0.580055773483819
official_property_contribution,120,bit_120,21022,8978,0.5604440025832345,0.6259767634450673,-0.019611770900584524,0.04592098996124827,0.0655327608618328,0.0655327608618328,0.580055773483819
official_property_contribution,77,bit_77,29335,665,0.578606855650555,0.6439715699331381,-0.0014489178332639518,0.0639157964493191,0.06536471428258306,0.06536471428258306,0.580055773483819
official_property_contribution,33,bit_33,18283,11717,0.5551454525487213,0.6189253986145172,-0.024910320935097707,0.03886962513069825,0.06377994606579596,0.06377994606579596,0.580055773483819
official_property_contribution,58,bit_58,16387,13613,0.551727286771811,0.6141569203103577,-0.02832848671200794,0.03410114682653875,0.06242963353854669,0.06242963353854669,0.580055773483819
official_property_contribution,51,bit_51,9860,20140,0.6217817805999813,0.5596278474577334,0.04172600711616237,-0.020427926026085563,-0.06215393314224793,0.06215393314224793,0.580055773483819
official_property_contribution,47,bit_47,21091,8909,0.5618486336973302,0.6231590157373642,-0.018207139786488802,0.043103242253545226,0.06131038204003403,0.06131038204003403,0.580055773483819
official_property_contribution,23,bit_23,6238,23762,0.6276831556665179,0.567552633594261,0.04762738218269891,-0.01250313988955798,-0.06013052207225689,0.06013052207225689,0.580055773483819
official_property_contribution,12,bit_12,21495,8505,0.5633093286859703,0.6223796807066001,-0.016746444797848703,0.04232390722278112,0.059070352020629824,0.059070352020629824,0.580055773483819
official_property_contribution,124,bit_124,8492,21508,0.6216060354715868,0.5636504905751281,0.04155026198776779,-0.01640528290869092,-0.05795554489645871,0.05795554489645871,0.580055773483819
official_property_contribution,31,bit_31,12637,17363,0.6133942253576996,0.5557916476800852,0.033338451873880626,-0.024264125803733827,-0.05760257767761445,0.05760257767761445,0.580055773483819
official_property_contribution,84,bit_84,4747,25253,0.6284615516579256,0.5709565682807743,0.04840577817410663,-0.009099205203044636,-0.057504983377151264,0.057504983377151264,0.580055773483819
official_property_contribution,56,bit_56,24634,5366,0.5701139697415367,0.6256961747859769,-0.009941803742282262,0.04564040130215796,0.055582205044440225,0.055582205044440225,0.580055773483819
official_property_contribution,3,bit_3,10708,19292,0.614249976034371,0.5610763249605288,0.034194202550552055,-0.018979448523290143,-0.0531736510738422,0.0531736510738422,0.580055773483819
qed,80,bit_80,29988,12,0.6306738028347746,0.4904062983140003,5.610700180824768e-05,-0.14021139751896605,-0.1402675045207743,0.1402675045207743,0.6306176958329663
