bit,bit_index,property,count0,count1,mean_if_0,mean_if_1,shift_1_minus_0,relative_shift_percent
bit_86,86,qed,9587,20413,0.6949430204711543,0.6004071982428861,-0.09453582222826817,-13.603391852784593
bit_86,86,sa,9587,20413,4.773528995791427,4.442629679595917,-0.3308993161955103,-6.93196409799222
bit_86,86,logp,9587,20413,3.281936028997603,4.24118336305296,0.9592473340553567,29.228093588050168
bit_86,86,mw,9587,20413,310.47044594073003,297.7676150899419,-12.702830850788132,-4.091478276554912
bit_86,86,tpsa,9587,20413,50.84105976843642,33.16095674325185,-17.68010302518457,-34.77524486254097
bit_86,86,nrb,9587,20413,4.30781266298112,5.042619899083917,0.7348072361027969,17.057548542379994
bit_86,86,hbd,9587,20413,1.362157087722958,0.6865722823690785,-0.6755848053538795,-49.59668832933336
bit_86,86,hba,9587,20413,2.3660164806508814,2.2275020820065645,-0.13851439864431692,-5.854329408821877
bit_86,86,ro5,9587,20413,1.0,1.0,0.0,0.0
bit_86,86,official_property_contribution,9587,20413,0.6297751596296618,0.5567049796279333,-0.07307018000172849,-11.602582109573405
bit_67,67,qed,18478,11522,0.5952492452305559,0.6873385976062123,0.09208935237565641,15.470721401752932
bit_67,67,sa,18478,11522,4.426181084048794,4.744336752403247,0.31815566835445264,7.188040035258197
bit_67,67,logp,18478,11522,4.295236072626912,3.356346515361918,-0.9388895572649938,-21.858858078801262
bit_67,67,mw,18478,11522,294.82409908735474,313.0576973727323,18.23359828537758,6.184568473819051
bit_67,67,tpsa,18478,11522,31.39469423097738,50.704451484117335,19.309757253139956,61.50643516727382
bit_67,67,nrb,18478,11522,4.894685572031605,4.668460336747093,-0.22622523528451222,-4.621854293913601
bit_67,67,hbd,18478,11522,0.6673882454811126,1.2794653705953827,0.61207712511427,91.71230228561046
bit_67,67,hba,18478,11522,2.2017534365191036,2.384047908349245,0.18229447183014136,8.279513446262296
bit_67,67,ro5,18478,11522,1.0,1.0,0.0,0.0
bit_67,67,official_property_contribution,18478,11522,0.552143186890061,0.6248195970456536,0.07267641015559256,13.162601999119369
bit_36,36,qed,12760,17240,0.5754248730874305,0.6714680681202655,0.09604319503283498,16.69083133607297
bit_36,36,sa,12760,17240,4.39862606267041,4.659208443884536,0.26058238121412547,5.924176720217169
bit_36,36,logp,12760,17240,4.445285197492167,3.556691274941998,-0.8885939225501689,-19.9895818394616
bit_36,36,mw,12760,17240,294.8964335998037,306.95661249021276,12.060178890409077,4.089631991540337
bit_36,36,tpsa,12760,17240,30.021057993730405,45.3166560324826,15.295598038752193,50.949563609472136
bit_36,36,nrb,12760,17240,4.87782131661442,4.755974477958237,-0.12184683865618329,-2.497976673338955
bit_36,36,hbd,12760,17240,0.6173981191222571,1.1134570765661254,0.4960589574438683,80.34669074617618
bit_36,36,hba,12760,17240,2.0907523510971786,2.405742459396752,0.3149901082995732,15.065873685818104
