group,qed,sa
all,0.7278046329490594,1.5445594924302917
all,0.8346854781871984,1.9232791550223567
all,0.8834943976496703,2.197224365393442
all,0.913030363570142,2.256515610191185
all,0.933693784568306,2.637243907279549
all,0.9392103390114496,3.2575153385846933
all,0.9404670829793076,3.956605545239048
all,0.9426911794825366,4.212551872167241
all,0.947575802094334,4.4408777463042135
seed_123,0.7278046329490594,1.5445594924302917
seed_123,0.8346854781871984,1.9232791550223567
seed_123,0.8834943976496703,2.197224365393442
seed_123,0.9089743631462792,2.361436353664427
seed_123,0.9238796951127995,2.9176686824669087
seed_123,0.9327349929043344,3.1604324918021423
seed_123,0.9392103390114496,3.2575153385846933
seed_123,0.947575802094334,4.4408777463042135
seed_2026,0.7278046329490594,1.5445594924302917
seed_2026,0.7696806921450948,1.9748901512666404
seed_2026,0.7804077687671471,2.13479821100289
seed_2026,0.81349413348744,2.214775041553421
seed_2026,0.8800187896513691,2.2652404962977126
seed_2026,0.9089743631462792,2.361436353664427
seed_2026,0.933693784568306,2.637243907279549
seed_2026,0.9426911794825366,4.212551872167241
seed_42,0.7278046329490594,1.5445594924302917
seed_42,0.7724884539241939,1.9809515076270827
seed_42,0.7922103638315388,2.14665727890792
seed_42,0.913030363570142,2.256515610191185
seed_42,0.9218381262863776,3.0055590026961143
seed_42,0.9327349929043344,3.1604324918021423
seed_42,0.9392103390114496,3.2575153385846933
seed_42,0.9404670829793076,3.956605545239048
seed_42,0.9426911794825366,4.212551872167241
seed_42,0.947575802094334,4.4408777463042135
