property,subset,paper_janus_fm,repro_mean,repro_std,seed_count,delta_repro_minus_paper,abs_delta
QED,5,0.8,0.8754180232967462,0.0006658138290164,3,0.07541802329674618,0.07541802329674618
QED,10,0.79,0.8542303357213784,0.0006327334674035,3,0.06423033572137837,0.06423033572137837
QED,20,0.76,0.8261404718681079,0.0005078160110005,3,0.0661404718681079,0.0661404718681079
QED,Avg,0.65,0.6306176958329663,0.0003604942270326,3,-0.01938230416703368,0.01938230416703368
SA,5,2.99,2.770073324854342,0.0130940545110347,3,-0.2199266751456581,0.2199266751456581
SA,10,3.21,3.019278048232385,0.0120620767271792,3,-0.19072195176761486,0.19072195176761486
SA,20,3.48,3.3378694754585143,0.0133589942225077,3,-0.14213052454148567,0.14213052454148567
SA,Avg,4.57,4.548374071074794,0.015195434891426,3,-0.021625928925206317,0.021625928925206317
LogP,5,98.3,100.0,0.0,3,1.7000000000000028,1.7000000000000028
LogP,10,97.7,100.0,0.0,3,2.299999999999997,2.299999999999997
LogP,20,96.69,100.0,0.0,3,3.3100000000000023,3.3100000000000023
LogP,Avg,91.68,73.22333333333334,0.6058327602014684,3,-18.456666666666663,18.456666666666663
Ro5,5,99.62,100.0,0.0,3,0.37999999999999545,0.37999999999999545
Ro5,10,99.56,100.0,0.0,3,0.4399999999999977,0.4399999999999977
Ro5,20,99.53,100.0,0.0,3,0.46999999999999886,0.46999999999999886
Ro5,Avg,99.39,100.0,0.0,3,0.6099999999999994,0.6099999999999994
