group,n,hypervolume_qed_sa,coverage_qed_ge_0p7_sa_le_4p0_percent,qed_mean,sa_mean
all,30000,7.86366793377416,8.57,0.6306176958329663,4.548374071074794
seed_123,10000,7.848926371609842,8.94,0.6304531023801832,4.534401853365861
seed_2026,10000,7.801730399344574,8.459999999999999,0.6310311086027618,4.546168657163137
seed_42,10000,7.830097412063127,8.309999999999999,0.6303688765159539,4.564551702695386
