property,subset,mean,std,count
LogP,avg,73.22333333333334,0.6058327602014684,3
LogP,top_10,41.06666666666666,1.4468356276140497,3
LogP,top_20,40.56666666666667,0.9438396756511888,3
LogP,top_5,34.06666666666667,1.7473789896108192,3
QED,avg,0.6306176958329662,0.0003604942270325704,3
QED,top_10,0.5769473049851671,0.0032368290293454433,3
QED,top_20,0.5522143182274342,0.00040132823134426244,3
QED,top_5,0.5958123924823845,0.0010128215032272738,3
Ro5,avg,100.0,0.0,3
Ro5,top_10,100.0,0.0,3
Ro5,top_20,100.0,0.0,3
Ro5,top_5,100.0,0.0,3
SA,avg,4.548374071074795,0.015195434891425564,3
SA,top_10,4.50873795610837,0.012472400763693317,3
SA,top_20,4.40448498048327,0.021474894118018024,3
SA,top_5,4.560304165644813,0.02497254259173261,3
