target,spearman_mean,spearman_std,spearman_count,pearson_mean,pearson_std,pearson_count
logp,0.5022840441126833,0.00362198725224563,3,0.4890681093710672,0.0042742807469677725,3
logp_gaussian,-0.44914907997077885,0.002837352900314989,3,-0.4610380632558391,0.0035749889321189375,3
mw_gaussian,0.46159859974131523,0.0027435420860891656,3,0.3500019655026499,0.0007444697490478754,3
nrb_gaussian,-0.15860187844743767,0.011177042297267603,3,-0.1547023518210724,0.010238344545804802,3
official_base_score,-0.24832693911645043,0.0034623964731414773,3,-0.28007991298323526,0.005119660888070482,3
official_final_score,,,0,,,0
official_property_contribution,-0.24832693911645043,0.0034623964731414773,3,-0.2800799129832352,0.005119660888070462,3
passes_lipinski_ro5,,,0,,,0
qed,-0.16064615028702503,0.006007260130067753,3,-0.19004478699856375,0.004634199204799915,3
sa,0.0026179374702774336,0.007331481571430647,3,-0.01926515042498673,0.005321542066321357,3
sa_good,-0.0026179374702774336,0.007331481571430647,3,0.01926515042498673,0.005321542066321357,3
tpsa_gaussian,-0.20233446630614968,0.0026153825568131206,3,-0.2078879919167523,0.006644376859433958,3
